date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:02:26	2440/2440	---M--	200	added ('OK')	image/svg+xml	etag:%2266a1345d-988%22	https://playorionstars.net/media/messanger.svg	C:/xampp/htdocs/Orionstars/playorionstars.net/media/messanger.svg	(from https://playorionstars.net/)
12:02:27	85875/85875	---M-Z	200	added ('OK')	text/css	etag:W/%2214f73-BDozLk9VXMC/015FG+lVtLk5ZqA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css	C:/xampp/htdocs/Orionstars/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css	(from https://playorionstars.net/css/styles.css)
12:02:27	776783/776783	---M--	200	added ('OK')	image/png	etag:%2266a1345d-bda4f%22	https://playorionstars.net/media/games-services-bg.png	C:/xampp/htdocs/Orionstars/playorionstars.net/media/games-services-bg.png	(from https://playorionstars.net/css/styles.css)
12:02:27	2613539/2613539	---M--	200	added ('OK')	image/png	etag:%2266a1345d-27e123%22	https://playorionstars.net/media/star-dots.png	C:/xampp/htdocs/Orionstars/playorionstars.net/media/star-dots.png	(from https://playorionstars.net/css/styles.css)
12:02:28	839313/839313	---M--	200	added ('OK')	image/png	etag:%2266a1345c-cce91%22	https://playorionstars.net/media/how-to-play-bg2.png	C:/xampp/htdocs/Orionstars/playorionstars.net/media/how-to-play-bg2.png	(from https://playorionstars.net/css/styles.css)
12:02:28	260589/260589	---M--	200	added ('OK')	image/jpeg	etag:%2266a29fa3-3f9ed%22	https://playorionstars.net/media/home-hero-mobile.jpg	C:/xampp/htdocs/Orionstars/playorionstars.net/media/home-hero-mobile.jpg	(from https://playorionstars.net/css/responsive.css)
12:02:28	209981/209981	---M--	200	added ('OK')	image/jpeg	etag:%2266a2a046-3343d%22	https://playorionstars.net/media/games-hero-mobile.jpg	C:/xampp/htdocs/Orionstars/playorionstars.net/media/games-hero-mobile.jpg	(from https://playorionstars.net/css/responsive.css)
12:02:28	191717/191717	---M--	200	added ('OK')	image/jpeg	etag:%2266a2a0b6-2ece5%22	https://playorionstars.net/media/play-games-hero-mobile.jpg	C:/xampp/htdocs/Orionstars/playorionstars.net/media/play-games-hero-mobile.jpg	(from https://playorionstars.net/css/responsive.css)
12:02:29	235628/235628	---M--	200	added ('OK')	image/jpeg	etag:%2266a2a12f-3986c%22	https://playorionstars.net/media/contact-hero-mobile.jpg	C:/xampp/htdocs/Orionstars/playorionstars.net/media/contact-hero-mobile.jpg	(from https://playorionstars.net/css/responsive.css)
12:02:29	1048453/1048453	---M--	200	added ('OK')	image/png	etag:%2266a2962a-fff85%22	https://playorionstars.net/media/games-hero.png	C:/xampp/htdocs/Orionstars/playorionstars.net/media/games-hero.png	(from https://playorionstars.net/games.php)
12:02:29	5366/5366	---M--	200	added ('OK')	image/png	etag:%2266a2a41d-14f6%22	https://playorionstars.net/media/all-games-icon.png	C:/xampp/htdocs/Orionstars/playorionstars.net/media/all-games-icon.png	(from https://playorionstars.net/games.php)
12:02:29	4100/4100	---M--	200	added ('OK')	image/png	etag:%2266a2a41c-1004%22	https://playorionstars.net/media/popular-game-icon.png	C:/xampp/htdocs/Orionstars/playorionstars.net/media/popular-game-icon.png	(from https://playorionstars.net/games.php)
12:02:29	3968/3968	---M--	200	added ('OK')	image/png	etag:%2266a2a41c-f80%22	https://playorionstars.net/media/new-game-icon.png	C:/xampp/htdocs/Orionstars/playorionstars.net/media/new-game-icon.png	(from https://playorionstars.net/games.php)
12:02:30	6060/6060	---M--	200	added ('OK')	image/png	etag:%2266a2a41d-17ac%22	https://playorionstars.net/media/coming-soon-game-icon.png	C:/xampp/htdocs/Orionstars/playorionstars.net/media/coming-soon-game-icon.png	(from https://playorionstars.net/games.php)
12:02:30	406078/406078	---M--	200	added ('OK')	image/png	etag:%2266a29744-6323e%22	https://playorionstars.net/media/screenshot-1.png	C:/xampp/htdocs/Orionstars/playorionstars.net/media/screenshot-1.png	(from https://playorionstars.net/games.php)
12:02:30	449644/449644	---M--	200	added ('OK')	image/png	etag:%2266a29744-6dc6c%22	https://playorionstars.net/media/screenshot-2.png	C:/xampp/htdocs/Orionstars/playorionstars.net/media/screenshot-2.png	(from https://playorionstars.net/games.php)
12:02:30	551873/551873	---M--	200	added ('OK')	image/png	etag:%2266a29745-86bc1%22	https://playorionstars.net/media/screenshot-3.png	C:/xampp/htdocs/Orionstars/playorionstars.net/media/screenshot-3.png	(from https://playorionstars.net/games.php)
12:02:31	609401/609401	---M--	200	added ('OK')	image/png	etag:%2266a29745-94c79%22	https://playorionstars.net/media/screenshot-4.png	C:/xampp/htdocs/Orionstars/playorionstars.net/media/screenshot-4.png	(from https://playorionstars.net/games.php)
12:02:31	464/464	---M--	200	added ('OK')	image/png	etag:%2266a1345d-1d0%22	https://playorionstars.net/media/step-line.png	C:/xampp/htdocs/Orionstars/playorionstars.net/media/step-line.png	(from https://playorionstars.net/how-to-play.php)
12:02:32	2556011/2556011	---M--	200	added ('OK')	image/png	etag:%2266a2979f-27006b%22	https://playorionstars.net/media/how-to-play-hero.png	C:/xampp/htdocs/Orionstars/playorionstars.net/media/how-to-play-hero.png	(from https://playorionstars.net/how-to-play.php)
12:02:32	1954128/1954128	---M--	200	added ('OK')	image/png	etag:%2266a298b7-1dd150%22	https://playorionstars.net/media/contact-hero.png	C:/xampp/htdocs/Orionstars/playorionstars.net/media/contact-hero.png	(from https://playorionstars.net/contact-us.php)
12:02:32	130396/130396	---M--	200	added ('OK')	font/woff2	etag:W/%221fd5c-Agw8b5KAoxXoQl1/kuFbzQzdobI%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/fonts/bootstrap-icons.woff2?dd67030699838ea613ee6dbda90effa6	C:/xampp/htdocs/Orionstars/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/fonts/bootstrap-icons0107.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css)
12:02:32	176032/176032	---M--	200	added ('OK')	font/woff	etag:W/%222afa0-1YMf05uvE6/3Ym5IO5oIlzDxhgQ%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/fonts/bootstrap-icons.woff?dd67030699838ea613ee6dbda90effa6	C:/xampp/htdocs/Orionstars/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/fonts/bootstrap-icons0107.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css)
12:02:32	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css)
